#ISBN   #PRICE   #IMPRINT   #TITLE   #AUTHOR   #Description
9780140039344   4.5   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140039566   4   PENGUIN   PENGUIN UK   Naipaul, S   OUT OF PRINT          BCK OP
9780140040203   4   PENGUIN   PENGUIN UK   Highsmith, Patricia   OUT OF PRINT          BCK OP
9780140040531   3.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140040616   4.99   PENGUIN CLASSICS   PENGUIN UK   Richards, Alun   OUT OF PRINT          BCK OP
9780140041118   4.99   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140041286   4.99   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140041514   4   PENGUIN   PENGUIN UK   Amis, Kingsley   OUT OF PRINT          BCK OP
9780140041576   4.99   PENGUIN   PENGUIN UK   Theroux,  Paul   OUT OF PRINT          BCK OP
9780140041927   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140042528   9   PENGUIN   PENGUIN USA   Kerouac, Jack   OUT OF PRINT          BCK OP
9780140043105   4.99   PENGUIN   PENGUIN UK   Unsworth, Barry   OUT OF PRINT          BCK OP
9780140043235   3.99   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140043594   4   PENGUIN   PENGUIN UK   Post, V   OUT OF PRINT          BCK OP
9780140043792   7.75   PENGUIN   PENGUIN USA   Millie, Richard De   OUT OF PRINT          BCK OP
9780140044652   1.99   PENGUIN   PENGUIN UK   Theroux, Paul   OUT OF PRINT          BCK OP
9780140045291   10.5   PENGUIN   PENGUIN USA   Ken, Kesey   OUT OF PRINT          BCK OP
9780140045697   4.99   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140046434   5.6   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140047134   3   PENGUIN   PENGUIN UK   Read, Miss   OUT OF PRINT          BCK OP
9780140047165   5.6   PENGUIN   PENGUIN UK   Gordimer, Nadine   OUT OF PRINT          BCK OP
0140047522   7.75   PENGUIN   PENGUIN UK   Hibbert, Christopher   NOT AVL FOR BILLING   BCK NAB
9780140047561   3.25   PENGUIN   PENGUIN UK   Cash, Alan   OUT OF PRINT          BCK OP
9780140048315   200   PENGUIN   PENGUIN INDIA   Naipaul, V. S.   OUT OF PRINT          BCK OP
9780140049268   6.99   PENGUIN   PENGUIN UK   Morris, James   OUT OF PRINT          BCK OP
9780140049275   6.99   PENGUIN   PENGUIN UK   Morris, James   OUT OF PRINT          BCK OP
9780140049282   6.99   PENGUIN   PENGUIN UK   Morris, James   OUT OF PRINT          BCK OP
9780140049527   2.5   PENGUIN   PENGUIN UK   Mikes George   OUT OF PRINT          BCK OP
9780140050332   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140050356   2.25   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140050363   4.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140050721   1.99   PENGUIN   PENGUIN UK   Theroux, Paul   OUT OF PRINT          BCK OP
9780140050882   3.25   PENGUIN   PENGUIN UK   Cash, Alan   OUT OF PRINT          BCK OP
9780140051629   3.25   PENGUIN   PENGUIN UK   Mortimer, John   OUT OF PRINT          BCK OP
9780140052008   6.3   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140052473   11.99   PENGUIN   PENGUIN UK   Hibbert, Christopher   OUT OF PRINT          BCK OP
9780140052589   3.99   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140052596   4.99   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140052824   6.99   PENGUIN   PENGUIN UK   Woolf, Virgina   OUT OF PRINT          BCK OP
9780140052831   6.99   PENGUIN   PENGUIN UK   Woolf, Virgina   OUT OF PRINT          BCK OP
9780140052848   6.99   PENGUIN   PENGUIN UK   Woolf, Virgina   OUT OF PRINT          BCK OP
9780140052855   6.99   PENGUIN   PENGUIN UK   Woolf, Virgina   OUT OF PRINT          BCK OP
9780140052862   6.99   PENGUIN   PENGUIN UK   Woolf, Virgina   OUT OF PRINT          BCK OP
9780140052879   3.99   PENGUIN   PENGUIN UK   Jhabvala, Ruth Pravar   OUT OF PRINT          BCK OP
9780140052886   3.99   PENGUIN   PENGUIN UK   Jhabvala, Ruth Pravar   OUT OF PRINT          BCK OP
9780140052909   3.99   PENGUIN   PENGUIN UK   Jhabvala, Ruth Pravar   OUT OF PRINT          BCK OP
9780140053166   5.6   PENGUIN   PENGUIN UK   Kaye, M M   OUT OF PRINT          BCK OP
