#ISBN   #PRICE   #IMPRINT   #TITLE   #AUTHOR   #Description
9780140287110   250   PENGUIN   PENGUIN INDIA   Easwaran, Eknath   NO RIGHTS             BCK NR
9780140287127   200   PENGUIN   PENGUIN INDIA   Sunetra, Gupta   NO RIGHTS             BCK NR
9780140287134   75   PENGUIN   PENGUIN INDIA   Bond, Ruskin   OUT OF PRINT          BCK OP
9780140287141   650   PENGUIN   PENGUIN INDIA   Cambrai, Jeanne   TEMP WITHDRAWN      Y BCK WS
9780140287172   250   PENGUIN   PENGUIN INDIA   Shukla, V. K.   NO RIGHTS             BCK NR
9780140287189   250   PENGUIN   PENGUIN INDIA   Desai, Ashok V.   TEMP WITHDRAWN      Y BCK WS
9780140287363   4.2   PENGUIN   PENGUIN UK   Greene, Graham   OUT OF PRINT          BCK OP
9780140287400   3.99   PENGUIN   PENGUIN UK   Waugh, Evelyn   OUT OF PRINT          BCK OP
9780140287424   3.99   PENGUIN   PENGUIN UK   Nin, Anais   OUT OF PRINT          BCK OP
9780140287516   200   PENGUIN   PENGUIN INDIA   Alter, Tom & Memon, Ayaz   NO RIGHTS             BCK NR
9780140287523   250   PENGUIN   PENGUIN INDIA   Panikkar, K. N.   NO RIGHTS             BCK NR
9780140287585   295   PENGUIN   PENGUIN INDIA   Paine, Jeffery   NO RIGHTS             BCK NR
9780140287615   395   PENGUIN   PENGUIN INDIA   Brigitte, Muir   NO RIGHTS             BCK NR
9780140287646   75   PENGUIN   PENGUIN INDIA   Singh, Renuka   OUT OF PRINT          BCK OP
9780140287776   5.6   PENGUIN   PENGUIN UK   De Bono, Edward   OUT OF PRINT          BCK OP
9780140287813   195   PENGUIN   PENGUIN AUSTRALIA   Spencer   OUT OF PRINT          BCK OP
9780140287929   250   PENGUIN   PENGUIN INDIA   Chhibba, Rajan   NO RIGHTS             BCK NR
9780140287981   9.1   PENGUIN   PENGUIN UK   Large, David   OUT OF PRINT          BCK OP
9780140288025   4.5   PENGUIN   PENGUIN UK   Baricco, Alessandro   OUT OF PRINT          BCK OP
9780140288087   295   PENGUIN   PENGUIN INDIA   Mehta, Ved   NO RIGHTS             BCK NR
9780140288094   200   PENGUIN   PENGUIN INDIA   Srivastava, Atima   NO RIGHTS             BCK NR
9780140288124   6.3   PENGUIN   PENGUIN UK   Armstrong, John   OUT OF PRINT          BCK OP
9780140288193   200   PENGUIN   PENGUIN INDIA   Laxman, R. K.   OUT OF PRINT          BCK OP
9780140288216   200   PENG MOD CLASSICS   PENGUIN INDIA   Tagore, Rabindranath   OUT OF PRINT          BCK OP
9780140288230   3.99   PENGUIN   PENGUIN UK   Thompson, Flora   OUT OF PRINT          BCK OP
9780140288308   7.75   PENGUIN   PENGUIN UK   Plotkin, Henry   OUT OF PRINT          BCK OP
9780140288414   13.5   PENGUIN   PENGUIN UK   Schama, Simon   OUT OF PRINT          BCK OP
9780140288506   8.5   PENGUIN   PENGUIN USA   Bowden, Mark   NO RIGHTS             BCK NR
9780140288575   250   PENGUIN   PENGUIN INDIA   Hanifa, Deen   NO RIGHTS             BCK NR
9780140288582   250   PENGUIN   PENGUIN INDIA   Muthamma, C. B. &  Bopanna, P. G.   NO RIGHTS             BCK NR
9780140288735   250   PENGUIN   PENGUIN INDIA   Dutt, Ashu   NO RIGHTS             BCK NR
9780140288926   2.8   PENGUIN   PENGUIN UK   Dickens, Charles   OUT OF PRINT          BCK OP
9780140288940   3.99   PENGUIN   PENGUIN UK   Garland, Alex   OUT OF PRINT          BCK OP
9780140288988   10.5   PENGUIN   PENGUIN UK   Kershaw, Ian   OUT OF PRINT          BCK OP
9780140289077   9.1   PENGUIN   PENGUIN UK   Ferguson, Niall   OUT OF PRINT          BCK OP
9780140289084   9.1   PENGUIN   PENGUIN UK   Ferguson, Niall   OUT OF PRINT          BCK OP
9780140289251   9.1   PENGUIN   PENGUIN UK   Hancock, G & Faiia, S   OUT OF PRINT          BCK OP
9780140289305   9.1   PENGUIN   PENGUIN UK   Shell, Richard G   OUT OF PRINT          BCK OP
9780140289312   6.3   PENGUIN   PENGUIN UK   Shell, Richard G   OUT OF PRINT          BCK OP
9780140289336   95   PENGUIN   PENGUIN INDIA   Beri, Ritu   NO RIGHTS             BCK NR
9780140289510   4.99   PENGUIN   PENGUIN UK   Crystal, David   OUT OF PRINT          BCK OP
9780140289596   4.99   PENGUIN   PENGUIN UK   Kolakowski, Les   OUT OF PRINT          BCK OP
9780140289756   350   PENGUIN   PENGUIN UK   Grant   OUT OF PRINT          BCK OP
9780140289763   6.99   PENGUIN   PENGUIN UK   Jones, M   OUT OF PRINT          BCK OP
9780140290158   4.99   PENGUIN   PENGUIN UK   Jago, Lucy   NO RIGHTS             BCK NR
9780140290196   6.99   PENGUIN   PENGUIN UK   Stern, Fritz   OUT OF PRINT          BCK OP
9780140290226   4.2   PENGUIN   PENGUIN UK   Runyon, Damon   OUT OF PRINT          BCK OP
9780140290349   5.6   PENGUIN   PENGUIN UK   Feynman, Richard   OUT OF PRINT          BCK OP
9780140290462   295   PENGUIN   PENGUIN INDIA   Sahni, Bhisham   OUT OF PRINT          BCK OP
9780140290561   5.6   PENGUIN   PENGUIN UK   Self, Will   OUT OF PRINT          BCK OP
9780140290592   95   PENGUIN   PENGUIN INDIA   Deol, Kanwaljit   NO RIGHTS             BCK NR
9780140290677   299   PENGUIN   PENGUIN INDIA   Chatterjee, Manini   OUT OF PRINT          BCK OP
9780140290752   6.3   PENGUIN   PENGUIN UK   Richards, Viv   OUT OF PRINT          BCK OP
9780140290875   6.3   PENGUIN   PENGUIN UK   Segre, G   OUT OF PRINT          BCK OP
9780140290905   6.3   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140291117   5.6   PENGUIN   PENGUIN UK   Pomerantz, G M   OUT OF PRINT          BCK OP
9780140291124   5.6   PENGUIN   PENGUIN UK   Mortimer, John   OUT OF PRINT          BCK OP
9780140291223   4.99   PENGUIN   PENGUIN UK   Dawkins, Richard   OUT OF PRINT          BCK OP
9780140291247   4.2   PENGUIN   PENGUIN UK   Ridley, Matt   OUT OF PRINT          BCK OP
9780140291292   5.6   PENGUIN   PENGUIN UK   Spence, Jonathan   OUT OF PRINT          BCK OP
9780140291315   295   PENGUIN   PENGUIN INDIA   Shah, Tahir   NO RIGHTS             BCK NR
9780140291360   5.6   PENGUIN   PENGUIN UK   Pickering, David   OUT OF PRINT          BCK OP
9780140291391   4.99   PENGUIN   PENGUIN UK   Mcgrath, Patrick   NO RIGHTS             BCK NR
9780140291582   75   PENGUIN   PENGUIN INDIA   Krishnamurti, J.   OUT OF PRINT          BCK OP
9780140291599   395   PENGUIN   PENGUIN INDIA   Bhatia, Gautam   NO RIGHTS             BCK NR
9780140291612   6.99   PENGUIN   PENGUIN UK   Wilson, E O   OUT OF PRINT          BCK OP
9780140291711   200   PENGUIN   PENGUIN INDIA   Hussein, Aamer   OUT OF PRINT          BCK OP
9780140291803   7.95   PENGUIN   PENGUIN USA   Lodge, David   OUT OF PRINT          BCK OP
9780140291841   10.99   PENGUIN   PENGUIN USA   Schmidt, Rick   OUT OF PRINT          BCK OP
9780140291964   4.99   PENGUIN   PENGUIN USA   Airth, Rennie   NO RIGHTS             BCK NR
9780140292008   7.99   PENGUIN   PENGUIN USA   Wolitzer, H.   OUT OF PRINT          BCK OP
9780140292015   11   PENGUIN   PENGUIN USA   Irons, Peter   OUT OF PRINT          BCK OP
9780140292084   2.99   PENGUIN   PENGUIN UK   Mayle, Peter   OUT OF PRINT          BCK OP
9780140292251   2.99   PENGUIN   PENGUIN UK   Crace, Jim   NO RIGHTS             BCK NR
9780140292299   250   PENGUIN   PENGUIN INDIA   Easwaran, Eknath   NO RIGHTS             BCK NR
9780140292374   9.1   VIKING   PENGUIN UK   Trask, R L   NO RIGHTS             BCK NR
9780140292572   250   PENGUIN   PENGUIN INDIA   Thomas, F. C.   NO RIGHTS             BCK NR
9780140292619   9.5   PENGUIN   PENGUIN UK   Oliver, Jamie   OUT OF PRINT          BCK OP
9780140292688   2.99   PENGUIN   PENGUIN UK   Bank, Melissa   OUT OF PRINT          BCK OP
9780140292695   2.99   PENGUIN   PENGUIN UK   Unsworth, Barry   OUT OF PRINT          BCK OP
9780140292749   2.99   PENGUIN   PENGUIN UK   Buchan, Elizabeth   OUT OF PRINT          BCK OP
9780140292770   4.99   PENGUIN   PENGUIN UK   Self, Will   OUT OF PRINT          BCK OP
9780140292794   3.25   PENGUIN   PENGUIN UK   Townsend, Sue   OUT OF PRINT          BCK OP
9780140292800   3.25   PENGUIN   PENGUIN UK   Gibson, William   OUT OF PRINT          BCK OP
9780140292824   2.99   PENGUIN   PENGUIN UK   Turow, Scott   OUT OF PRINT          BCK OP
9780140292848   2.99   PENGUIN   PENGUIN UK   Dobyns,Stephen   NO RIGHTS             BCK NR
9780140292893   6.3   PENGUIN   PENGUIN UK   Bellow,  Saul   OUT OF PRINT          BCK OP
9780140293036   225   PENGUIN   PENGUIN INDIA   Situpa, Tai   TEMP WITHDRAWN      Y BCK WS
9780140293074   13.5   PENGUIN   PENGUIN UK   Andrews, Robert (Ed.)   OUT OF PRINT          BCK OP
9780140293159   2.1   PENGUIN   PENGUIN UK   Greer, Allica   NO RIGHTS             BCK NR
9780140293210   15   VIKING   PENGUIN UK   Macey, David   OUT OF PRINT          BCK OP
9780140293234   9.1   PENGUIN   PENGUIN UK   Freeman, Charles   OUT OF PRINT          BCK OP
9780140293272   200   PENGUIN   PENGUIN INDIA   Niranjchana, Shakti   NO RIGHTS             BCK NR
9780140293289   3.99   PENGUIN   PENGUIN UK   Baricco, Alessandro   OUT OF PRINT          BCK OP
9780140293326   6.99   PENGUIN   PENGUIN UK   Elliutt, Marian   OUT OF PRINT          BCK OP
9780140293357   299   PENGUIN   PENGUIN UK   Pearse, Lesley   OUT OF PRINT          BCK OP
9780140293456   350   PENGUIN   PENGUIN UK   Hornby, Nick   OUT OF PRINT          BCK OP
9780140293470   4.2   PENGUIN   PENGUIN UK   Fraser, Caro   NO RIGHTS             BCK NR
9780140293531   2.99   PENGUIN   PENGUIN UK   Lodge, David   OUT OF PRINT          BCK OP
9780140294019   8.5   TIME OUT   PENGUIN UK      OUT OF PRINT          BCK OP
9780140294149   10.5   TIME OUT   PENGUIN UK   Pym, John   OUT OF PRINT          BCK OP
9780140294156   7.99   TIME OUT   PENGUIN UK      OUT OF PRINT          BCK OP
9780140294163   8.5   TIME OUT   PENGUIN UK      OUT OF PRINT          BCK OP
9780140294217   3.99   PENGUIN   PENGUIN UK   Macdonald, Hector   OUT OF PRINT          BCK OP
9780140294255   5.6   PENGUIN   PENGUIN UK   Kanfer, Stefan   OUT OF PRINT          BCK OP
9780140294262   4.99   PENGUIN   PENGUIN UK   Kanfer, Stefan   OUT OF PRINT          BCK OP
9780140294477   200   PENGUIN   PENGUIN INDIA   Patwardhan, Sunanda   NO RIGHTS             BCK NR
9780140294484   250   PENGUIN   PENGUIN INDIA   Ray, Satyajit   OUT OF PRINT          BCK OP
9780140294521   295   PENGUIN   PENGUIN INDIA   Calwell, Sue   NO RIGHTS             BCK NR
9780140294538   200   PENGUIN   PENGUIN INDIA   Webster, Richard   NO RIGHTS             BCK NR
9780140294552   5.6   PENGUIN   PENGUIN UK   Cave, N   OUT OF PRINT          BCK OP
9780140294774   299   PENGUIN   PENGUIN UK   Cumming, Charles   OUT OF PRINT          BCK OP
9780140294811   3.99   PENGUIN   PENGUIN UK   Gribbin & Cher   OUT OF PRINT          BCK OP
9780140294897   7.75   PENGUIN   PENGUIN UK   Brookner, Anita   OUT OF PRINT          BCK OP
9780140294934   3.99   PENGUIN   PENGUIN UK   Clancy, Tom   OUT OF PRINT          BCK OP
9780140294941   4.99   PENGUIN   PENGUIN UK   Clancy, Tom   OUT OF PRINT          BCK OP
9780140294958   4.99   PENGUIN   PENGUIN UK   Clancy Et Al., Tom   OUT OF PRINT          BCK OP
9780140294965   4.99   PENGUIN   PENGUIN UK   Clancy, Tom   OUT OF PRINT          BCK OP
9780140295085   4.2   PENGUIN   PENGUIN UK   Tolstoy, Leo   OUT OF PRINT          BCK OP
9780140295139   4.99   PENGUIN   PENGUIN UK   Garten, Jeffrey   OUT OF PRINT          BCK OP
9780140295214   495   PENGUIN   PENGUIN INDIA   Sabharwal, Gopa   OUT OF PRINT          BCK OP
9780140295245   9.1   PENGUIN   PENGUIN UK   Widmer, Jan   OUT OF PRINT          BCK OP
9780140295344   4.2   PENGUIN   PENGUIN UK   Rodi, R   OUT OF PRINT          BCK OP
9780140295467   6.3   PENGUIN   PENGUIN UK   Coe, Michael D   OUT OF PRINT          BCK OP
9780140295481   5.6   PENGUIN   PENGUIN UK   Paulos, J A   OUT OF PRINT          BCK OP
9780140295573   4.2   PENGUIN   PENGUIN UK   Hornby, Nick   OUT OF PRINT          BCK OP
9780140295597   6.5   PENGUIN   PENGUIN UK   Andrew, Christopher & Mitrokhin, Vasili   OUT OF PRINT          BCK OP
9780140295696   3.99   PENGUIN   PENGUIN UK   Cussler, Clive   OUT OF PRINT          BCK OP
9780140295702   395   PENGUIN   PENGUIN INDIA   Bhattacharji, Sukumari   NO RIGHTS             BCK NR
9780140295719   200   PENGUIN   PENGUIN INDIA   Jung, Anees   NO RIGHTS             BCK NR
9780140295726   295   PENGUIN   PENGUIN INDIA   Calwell, Sue  & Johnson, Daniel   OUT OF PRINT          BCK OP
9780140295733   450   PENGUIN   PENGUIN INDIA   Merchant, Ismail   TEMP WITHDRAWN      Y BCK WS
9780140295740   395   PENGUIN   PENGUIN INDIA   Merchant, Ismail   TEMP WITHDRAWN      Y BCK WS
9780140295757   250   PENGUIN   PENGUIN INDIA   Merchant, Ismail   NO RIGHTS             BCK NR
9780140295825   6.3   PENGUIN   PENGUIN UK   Tyldesley, Joyce   OUT OF PRINT          BCK OP
9780140295900   4.5   PENGUIN   PENGUIN UK   Ridpath, Michael   OUT OF PRINT          BCK OP
9780140295917   4.99   PENGUIN   PENGUIN UK   Ridpath, Michael   OUT OF PRINT          BCK OP
9780140296006   3.99   PENGUIN   PENGUIN UK   Thubron, Colin   OUT OF PRINT          BCK OP
9780140296136   9   PENGUIN   PENGUIN USA   Doyle Roddy   OUT OF PRINT          BCK OP
9780140296327   10   PENGUIN   PENGUIN USA      OUT OF PRINT          BCK OP
9780140296402   8.5   PENGUIN   PENGUIN USA   Coetzee, J. M.   NO RIGHTS             BCK NR
9780140296426   8.5   PENGUIN   PENGUIN USA   Farah, Nuruddin   OUT OF PRINT          BCK OP
9780140296433   9   PENGUIN   PENGUIN USA   Farah, Nuruddin   NO RIGHTS             BCK NR
9780140296488   250   PENGUIN   PENGUIN INDIA   Benard, Cheryl   NO RIGHTS             BCK NR
9780140296549   8.99   PENGUIN   PENGUIN USA   Djerassi, C.   OUT OF PRINT          BCK OP
9780140296563   11.99   PENGUIN   PENGUIN USA   Roberts, J.M.   OUT OF PRINT          BCK OP
9780140296600   200   PENGUIN   PENGUIN INDIA   Laxman, R. K.   OUT OF PRINT          BCK OP
9780140296624   6.99   PENGUIN   PENGUIN UK   Ball, P   OUT OF PRINT          BCK OP
9780140296662   299   PENGUIN   PENGUIN UK   De Bono, Edward   OUT OF PRINT          BCK OP
9780140296952   6.99   PENGUIN   PENGUIN UK   Bradbury, M   OUT OF PRINT          BCK OP
9780140297010   295   PENGUIN   PENGUIN INDIA   Verma, Vinod   TEMP WITHDRAWN      Y BCK WS
9780140297263   3.25   PENGUIN   PENGUIN UK   Sutcliffe, William   OUT OF PRINT          BCK OP
9780140297300   295   PENGUIN   PENGUIN INDIA   Varma, Shreekumar   OUT OF PRINT          BCK OP
9780140297331   250   PENGUIN   PENGUIN INDIA   R0Gers, Crystal   NO RIGHTS             BCK NR
9780140297485   9.1   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140297553   225   PENGUIN   PENGUIN INDIA   Sharan, C. D.   NO RIGHTS             BCK NR
9780140297584   200   PENGUIN   PENGUIN INDIA   Lambert-Lagace, Louise   NO RIGHTS             BCK NR
9780140297775   4.5   PENGUIN   PENGUIN UK   Armitage, S   OUT OF PRINT          BCK OP
9780140297799   4.2   PENGUIN   PENGUIN UK   Hornby, Nick   OUT OF PRINT          BCK OP
9780140297805   395   PENGUIN   PENGUIN INDIA   Smith, Zadie   OUT OF PRINT          BCK OP
9780140298000   6.3   PENGUIN   PENGUIN UK   Sebald, W G   OUT OF PRINT          BCK OP
9780140298048   5.6   PENGUIN   PENGUIN UK   Moody, Glyn   OUT OF PRINT          BCK OP
9780140298079   4.2   PENGUIN   PENGUIN UK   Courtenay, Bryce   OUT OF PRINT          BCK OP
9780140298222   295   PENGUIN   PENGUIN INDIA   Stein, Daniel S.   NO RIGHTS             BCK NR
9780140298239   250   PENGUIN   PENGUIN INDIA   Singh, Avtar   NO RIGHTS             BCK NR
9780140298246   200   PENGUIN   PENGUIN INDIA   Shiva, Vandana   OUT OF PRINT          BCK OP
9780140298260   225   PENGUIN   PENGUIN INDIA   Bai Kale, Kishore Shanta   TEMP WITHDRAWN      Y BCK WS
9780140298345   250   PENGUIN   PENGUIN INDIA   Chawla, Kimberley   NO RIGHTS             BCK NR
9780140298413   10   PENGUIN   PENGUIN USA   Gallagher, Carol A.   OUT OF PRINT          BCK OP
9780140298499   15   PENGUIN   PENGUIN USA   Toibin, C.   OUT OF PRINT          BCK OP
9780140298598   10.5   PENGUIN   PENGUIN USA   Schwartz, J.   OUT OF PRINT          BCK OP
9780140298611   7.5   PENGUIN   PENGUIN USA   Carter, A.   OUT OF PRINT          BCK OP
9780140298642   395   PENGUIN   PENGUIN INDIA   Albuquerque, Usha   OUT OF PRINT          BCK OP
9780140298659   395   PENGUIN   PENGUIN INDIA   Albuquerque, Usha   OUT OF PRINT          BCK OP
9780140298963   5.6   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140299038   75   PENGUIN   PENGUIN INDIA      OUT OF PRINT          BCK OP
9780140299182   6.99   PENGUIN   PENGUIN UK   Adler, Jeremy   OUT OF PRINT          BCK OP
9780140299250   4.99   PENGUIN   PENGUIN UK   Brookner, Anita   OUT OF PRINT          BCK OP
9780140299274   200   PENGUIN   PENGUIN INDIA   Laxman, R. K.   OUT OF PRINT          BCK OP
9780140299281   200   PENGUIN   PENGUIN INDIA   Laxman, R. K.   OUT OF PRINT          BCK OP
9780140299298   200   PENGUIN   PENGUIN INDIA   Laxman, R. K.   OUT OF PRINT          BCK OP
9780140299304   200   PENGUIN   PENGUIN INDIA   Laxman, R. K.   OUT OF PRINT          BCK OP
9780140299311   200   PENGUIN   PENGUIN INDIA   Laxman, R. K.   OUT OF PRINT          BCK OP
9780140299328   200   PENGUIN   PENGUIN INDIA   Laxman, R. K.   OUT OF PRINT          BCK OP
9780140299335   200   PENGUIN   PENGUIN INDIA   Laxman, R. K.   OUT OF PRINT          BCK OP
0140299335   200   PENGUIN   PENGUIN INDIA   Laxman, R. K.   NOT AVL FOR BILLING   BCK NAB
9780140299359   75   PENGUIN   PENGUIN INDIA   Bhatnagar, Anil   NO RIGHTS             BCK NR
9780140299366   5.6   PENGUIN   PENGUIN UK   Theroux,  Paul   OUT OF PRINT          BCK OP
9780140299373   250   PENGUIN   PENGUIN INDIA   Rao, Ranga   NO RIGHTS             BCK NR
9780140299380   75   PENGUIN   PENGUIN INDIA   Krishnamurti, U. G.   OUT OF PRINT          BCK OP
9780140299533   4.99   PENGUIN   PENGUIN UK   Coetzee, J M   OUT OF PRINT          BCK OP
9780140299557   5.6   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140299564   4.2   PENGUIN   PENGUIN UK   Brown, Rita Mae   OUT OF PRINT          BCK OP
9780140299571   4.2   PENGUIN   PENGUIN UK   Hi, Juelos Oscar   OUT OF PRINT          BCK OP
9780140299625   75   PENGUIN   PENGUIN INDIA   Osho   OUT OF PRINT          BCK OP
9780140299717   425   PENGUIN   PENGUIN INDIA   Gandhi, Arun   NO RIGHTS             BCK NR
9780140299731   5.6   PENGUIN   PENGUIN UK   Vakil, Ardashir   NO RIGHTS             BCK NR
9780140299762   4.99   PENGUIN   PENGUIN UK   Bareham, Lindse   NO RIGHTS             BCK NR
9780140299793   250   PENGUIN   PENGUIN INDIA   Naidoo, Indres   NO RIGHTS             BCK NR
9780140299861   5.6   PENGUIN   PENGUIN UK   Strathern,Paul   OUT OF PRINT          BCK OP
9780140299922   295   PENGUIN   PENGUIN INDIA   Di , Zhu Xiao   NO RIGHTS             BCK NR
9780140301106   3.25   PUFFIN   PENGUIN UK   Norton, Mary   OUT OF PRINT          BCK OP
9780140301250   2.99   PUFFIN   PENGUIN UK   Williams, Ursula   OUT OF PRINT          BCK OP
9780140301465   3.25   PUFFIN   PENGUIN UK   Serraillier, Ian   OUT OF PRINT          BCK OP
0140301473   4.5   PUFFIN   PENGUIN UK   Dahl, Roald   OUT OF PRINT          BCK OP
9780140301557   3.25   PUFFIN   PENGUIN UK   Sleigh, Barbara   OUT OF PRINT          BCK OP
9780140301854   4.2   PUFFIN   PENGUIN UK   White, E B   OUT OF PRINT          BCK OP
9780140302394   3.25   PUFFIN   PENGUIN UK   Williams, U M   OUT OF PRINT          BCK OP
0140302836   2.5   PUFFIN   PENGUIN UK   Dahl, Roald   OUT OF PRINT          BCK OP
9780140303032   2.99   PUFFIN   PENGUIN UK   Wilder, Laura Ingalls   OUT OF PRINT          BCK OP
9780140303124   2.8   PUFFIN   PENGUIN UK   Storr, Catherine   OUT OF PRINT          BCK OP
0140303204   2.5   PUFFIN   PENGUIN UK   Martyn, Andrew   OUT OF PRINT          BCK OP
0140303352   2.99   PUFFIN   PENGUIN UK   Humphrey, Carpenter   NOT AVL FOR BILLING   BCK NAB
0140303689   2.5   PUFFIN   PENGUIN UK   Duffey, Betsy   OUT OF PRINT          BCK OP
9780140304077   2.99   PUFFIN   PENGUIN UK   Bawden, Nina   OUT OF PRINT          BCK OP
9780140304589   1.99   PUFFIN   PENGUIN UK   Norton, Mary   OUT OF PRINT          BCK OP
9780140304619   2.99   PUFFIN   PENGUIN UK   Wilder, Laura I   OUT OF PRINT          BCK OP
